datetime,denuncia,homicidio,desaparecido,feminicidio,pistola,militar,trata 
2004-01-01,1,1,4,0,10,61,11
2004-02-01,1,1,0,0,9,58,16
2004-03-01,3,3,0,3,18,51,15
2004-04-01,1,4,0,0,3,58,19
2004-05-01,6,3,0,0,16,57,15
2004-06-01,2,3,2,0,13,49,14
2004-07-01,2,2,5,4,14,46,6
2004-08-01,4,3,2,0,4,48,15
2004-09-01,2,5,0,0,8,45,18
2004-10-01,3,6,0,3,13,42,18
2004-11-01,4,4,0,0,19,54,21
2004-12-01,4,4,2,0,11,38,11
2005-01-01,2,4,0,0,11,54,12
2005-02-01,4,4,0,0,8,48,17
2005-03-01,4,4,0,0,12,41,17
2005-04-01,3,5,2,2,12,46,16
2005-05-01,3,2,1,1,7,48,16
2005-06-01,3,2,2,0,13,41,15
2005-07-01,2,2,0,0,13,36,9
2005-08-01,3,3,0,2,12,36,10
2005-09-01,3,3,0,1,13,42,19
2005-10-01,3,3,2,1,12,40,18
2005-11-01,4,3,1,5,13,48,17
2005-12-01,3,2,0,2,13,36,12
2006-01-01,2,3,1,1,17,53,13
2006-02-01,4,3,1,1,12,40,13
2006-03-01,4,5,0,1,14,40,19
2006-04-01,4,3,0,0,16,42,13
2006-05-01,3,3,1,2,10,41,14
2006-06-01,4,3,1,0,14,40,11
2006-07-01,4,3,0,0,16,34,5
2006-08-01,3,1,1,0,15,31,10
2006-09-01,4,3,0,0,14,39,16
2006-10-01,3,2,1,1,15,32,14
2006-11-01,4,4,1,1,16,42,15
2006-12-01,2,2,0,2,15,34,11
2007-01-01,3,2,1,4,15,47,12
2007-02-01,4,2,1,0,14,39,15
2007-03-01,4,3,1,2,14,38,15
2007-04-01,4,3,1,1,16,30,12
2007-05-01,4,3,1,1,15,38,16
2007-06-01,4,3,2,0,15,37,14
2007-07-01,4,2,1,0,16,33,8
2007-08-01,4,2,1,0,16,29,13
2007-09-01,4,3,1,0,13,41,19
2007-10-01,3,3,1,1,17,33,21
2007-11-01,4,3,1,2,16,38,19
2007-12-01,3,3,0.5,0,18,29,13
2008-01-01,4,2,1,1,20,48,14
2008-02-01,5,3,2,1,21,41,18
2008-03-01,4,2,1,0,17,33,17
2008-04-01,4,2,1,0.5,18,37,19
2008-05-01,5,3,1,0,17,37,20
2008-06-01,4,3,1,1,17,33,17
2008-07-01,4,2,1,0.5,20,28,11
2008-08-01,4,3,2,0,18,29,15
2008-09-01,5,3,1,0.5,20,37,24
2008-10-01,5,3,2,1,18,33,25
2008-11-01,5,3,2,1,21,41,23
2008-12-01,5,2,1,0.5,21,34,17
2009-01-01,5,2,1,0.5,20,44,18
2009-02-01,5,2,2,0.5,24,42,23
2009-03-01,6,3,2,1,23,34,25
2009-04-01,5,3,2,1,21,35,20
2009-05-01,5,3,1,1,21,36,19
2009-06-01,7,2,12,0.5,21,38,21
2009-07-01,6,2,1,1,20,33,15
2009-08-01,6,3,1,1,21,32,18
2009-09-01,5,3,2,0,19,40,28
2009-10-01,6,3,2,0.5,20,34,28
2009-11-01,5,2,2,1,21,43,29
2009-12-01,4,2,2,1,23,37,20
2010-01-01,4,2,2,0.5,24,50,24
2010-02-01,5,3,2,1,24,43,25
2010-03-01,6,2,2,1,24,37,27
2010-04-01,6,3,2,1,23,39,26
2010-05-01,7,4,4,1,26,42,29
2010-06-01,6,3,3,0.5,23,36,23
2010-07-01,5,2,2,1,27,36,18
2010-08-01,5,2,1,1,24,34,23
2010-09-01,6,2,2,1,24,51,29
2010-10-01,6,2,2,1,26,39,31
2010-11-01,6,3,3,1,26,42,30
2010-12-01,4,2,3,1,25,35,23
2011-01-01,6,2,2,2,28,63,24
2011-02-01,6,2,3,2,25,55,25
2011-03-01,6,3,3,1,25,42,29
2011-04-01,5,2,3,1,26,32,24
2011-05-01,6,3,2,1,26,33,26
2011-06-01,6,2,3,2,25,35,24
2011-07-01,5,3,3,2,31,34,21
2011-08-01,5,2,3,2,27,37,21
2011-09-01,5,3,3,2,26,46,30
2011-10-01,5,3,3,2,24,39,31
2011-11-01,5,2,3,2,27,43,33
